iter	Passed	Remaining
865	7518	1163
866	7525	1154
867	7532	1145
868	7539	1136
869	7547	1127
870	7558	1119
871	7567	1110
872	7574	1101
873	7581	1092
874	7587	1083
875	7598	1075
876	7608	1067
877	7617	1058
878	7625	1049
879	7633	1040
880	7641	1032
881	7650	1023
882	7659	1014
883	7667	1006
884	7675	997
885	7683	988
886	7690	979
887	7699	971
888	7706	962
889	7713	953
890	7723	944
891	7732	936
892	7739	927
893	7747	918
894	7754	909
895	7760	900
896	7769	892
897	7778	883
898	7788	874
899	7799	866
900	7807	857
901	7814	849
902	7821	840
903	7830	831
904	7841	823
905	7851	814
906	7859	805
907	7867	797
908	7881	789
909	7891	780
910	7900	771
911	7911	763
912	7922	754
913	7932	746
914	7940	737
915	7948	728
916	7955	720
917	7962	711
918	7971	702
919	7982	694
920	7991	685
921	7999	676
922	8007	668
923	8014	659
924	8023	650
925	8035	642
926	8048	633
927	8059	625
928	8067	616
929	8074	607
930	8081	598
931	8088	590
932	8095	581
933	8104	572
934	8112	563
935	8121	555
936	8128	546
937	8140	538
938	8147	529
939	8155	520
940	8162	511
941	8174	503
942	8182	494
943	8190	485
944	8197	477
945	8205	468
946	8213	459
947	8222	451
948	8229	442
949	8238	433
950	8248	424
951	8256	416
952	8264	407
953	8272	398
954	8281	390
955	8288	381
956	8297	372
957	8307	364
958	8316	355
959	8326	346
960	8335	338
961	8343	329
962	8349	320
963	8359	312
964	8367	303
965	8375	294
966	8382	286
967	8391	277
968	8400	268
969	8409	260
970	8415	251
971	8422	242
972	8429	233
973	8437	225
974	8446	216
975	8455	207
976	8464	199
977	8473	190
978	8481	181
979	8490	173
980	8496	164
981	8506	155
982	8516	147
983	8524	138
984	8532	129
985	8540	121
986	8547	112
987	8555	103
988	8566	95
989	8578	86
990	8588	77
991	8596	69
992	8604	60
993	8615	52
994	8623	43
995	8633	34
996	8642	26
997	8649	17
998	8657	8
999	8665	0
